Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,YES,4.33e-02,11.7%,11.0%,62.72%,11.7%,67.22,0.0818,0.3444,0.056,0.234,0.865,0.449
2*,0.98,0.96,YES,4.19e-01,7.41%,9.85%,44.15%,10.79%,45.07,0.0287,0.1531,0.019,0.106,0.954,0.744
3,0.81,0.6,YES,Most Stab Sigs,7.14%,8.53%,21.91%,8.93%,23.77,0.0127,0.0442,0.007,0.029,0.982,0.934
4,0.78,0.7,NO,N/A,2.87%,7.35%,20.18%,7.39%,21.62,0.0101,0.0377,0.006,0.024,0.986,0.946
5,0.53,-0.08,NO,N/A,2.74%,6.12%,19.29%,6.59%,19.08,0.0083,0.0441,0.004,0.018,0.99,0.954
6,0.41,-0.24,NO,N/A,2.57%,5.68%,18.31%,5.9%,18.3,0.0069,0.0412,0.003,0.017,0.992,0.958
7,0.36,-0.13,NO,N/A,2.56%,5.48%,14.38%,5.72%,14.97,0.0048,0.0279,0.002,0.011,0.994,0.973
8,0.35,0.14,NO,N/A,2.3%,3.6%,8.67%,3.72%,9.51,0.0025,0.0118,0.001,0.004,0.997,0.989
9,0.34,0.06,NO,N/A,2.09%,2.29%,7.11%,2.24%,6.98,0.0012,0.0053,0.0,0.002,0.999,0.995
10,0.35,0.12,NO,N/A,2.08%,1.53%,3.8%,1.56%,3.89,0.0005,0.0017,0.0,0.001,1.0,0.998
